{'market_cap': 1970604000000, 'name': 'KODEX 레버리지', 'date': '20180130', 'industry': 'ETF', 'price': '19095', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '122630', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 186130800000, 'name': 'KBSTAR 코스닥150선물레버리지', 'date': '20180130', 'industry': 'ETF', 'price': '26820', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '278240', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 423306246660, 'name': '유진투자증권', 'date': '20180130', 'industry': '증권', 'price': '4370', 'pbr': 0.64, 'eps': '475', 'market_type': 'KOSPI', 'bps': '6861', 'industry_per': '23.06', 'code': '001200', 'per': '9.20', 'foreign_ratio': '8.81', 'face_val': '5000', 'foreign_limit': '96866418', 'foreign_possession': '8535372', 'yield_ret': 0}
{'market_cap': 310617573800, 'name': 'KTB투자증권', 'date': '20180130', 'industry': '증권', 'price': '5150', 'pbr': 0.8, 'eps': '514', 'market_type': 'KOSPI', 'bps': '6431', 'industry_per': '23.06', 'code': '030210', 'per': '10.02', 'foreign_ratio': '11.20', 'face_val': '5000', 'foreign_limit': '60314092', 'foreign_possession': '6755132', 'yield_ret': 0}
{'market_cap': 551360185530, 'name': '동양', 'date': '20180130', 'industry': '비금속', 'price': '2310', 'pbr': 0.56, 'eps': '102', 'market_type': 'KOSPI', 'bps': '4089', 'industry_per': '17.33', 'code': '001520', 'per': '22.65', 'foreign_ratio': '7.11', 'face_val': '500', 'foreign_limit': '238684063', 'foreign_possession': '16977556', 'yield_ret': '2.16'}
{'market_cap': 339932646045, 'name': '신성이엔지', 'date': '20180130', 'industry': '전기전자', 'price': '1965', 'pbr': 2.78, 'eps': '34', 'market_type': 'KOSPI', 'bps': '707', 'industry_per': '159.98', 'code': '011930', 'per': '57.79', 'foreign_ratio': '1.03', 'face_val': '500', 'foreign_limit': '172993713', 'foreign_possession': '1784669', 'yield_ret': 0}
{'market_cap': 65881771090, 'name': '주연테크', 'date': '20180130', 'industry': '전기전자', 'price': '667', 'pbr': 1.21, 'eps': '16', 'market_type': 'KOSPI', 'bps': '549', 'industry_per': '-34.36', 'code': '044380', 'per': '41.69', 'foreign_ratio': '0.26', 'face_val': '100', 'foreign_limit': '98773270', 'foreign_possession': '252323', 'yield_ret': 0}
{'market_cap': 2360801350650, 'name': '두산인프라코어', 'date': '20180130', 'industry': '기계', 'price': '11350', 'pbr': 1.14, 'eps': '305', 'market_type': 'KOSPI', 'bps': '9932', 'industry_per': '-87.20', 'code': '042670', 'per': '37.21', 'foreign_ratio': '12.68', 'face_val': '5000', 'foreign_limit': '208000119', 'foreign_possession': '26376453', 'yield_ret': 0}
{'market_cap': 78071986080, 'name': '페이퍼코리아', 'date': '20180130', 'industry': '종이목재', 'price': '1440', 'pbr': 0.33, 'eps': '-1721', 'market_type': 'KOSPI', 'bps': '4380', 'industry_per': '27.91', 'code': '001020', 'per': '-0.84', 'foreign_ratio': '3.51', 'face_val': '500', 'foreign_limit': '54216657', 'foreign_possession': '1905240', 'yield_ret': 0}
{'market_cap': 395993859480, 'name': '에이프로젠제약', 'date': '20180130', 'industry': '의약품', 'price': '4590', 'pbr': 4.62, 'eps': '-48', 'market_type': 'KOSPI', 'bps': '994', 'industry_per': '76.99', 'code': '003060', 'per': '-95.62', 'foreign_ratio': '3.15', 'face_val': '500', 'foreign_limit': '86273172', 'foreign_possession': '2716727', 'yield_ret': 0}
{'market_cap': 124502371700, 'name': '남선알미늄', 'date': '20180130', 'industry': '철강금속', 'price': '1130', 'pbr': 1.02, 'eps': '185', 'market_type': 'KOSPI', 'bps': '1109', 'industry_per': '12.97', 'code': '008350', 'per': '6.11', 'foreign_ratio': '7.98', 'face_val': '500', 'foreign_limit': '110179090', 'foreign_possession': '8790716', 'yield_ret': '0.00'}
